video_id,expected_category_id
--uXQQ0h-yQ,24
-0CMnp02rNY,24
-0NYY8cqdiQ,24
-1Hm41N0dUs,23
-1yT-K3c6YI,22
-2RVw2_QyxQ,27
-2aVkGcI7ZA,10
-2b4qSoMnKE,25
-2wRFv-mScQ,17
-35jibKqbEo,10
-37nIo_tLnk,17
-39ysKKpE7I,17
-3VBPAZPTQI,22
-3h4Xt9No9o,25
-3nEHRN6IPg,26
-43MBOJnVks,24
-4s2MeUgduo,28
-5WBCrazSfg,17
-5aaJJQFvOg,10
-66xHRJSPxs,24
-7AZX5Xtiks,23
-7UzyXO-mzk,15
-7_ATlZ-zMc,17
-7tSTUR7FG0,10
-8X32zNup1o,22
-8ZHXaGILlc,17
-9rdDeWzvsU,10
-A9rYcBmBFo,24
-AY-HC4sUGU,28
-B7J36GNaDk,26
-BDImdAfodA,10
-BQJo3vK8O8,10
-C5q3oir8gA,24
-CCw4ZzOGlI,10
-CS84oCtjvc,28
-C_rvt0SwLE,10
-DRsfNObKIQ,24
-EL8TuMsb-k,26
-El8z4uy5Ac,23
-GZZ-KSfuCw,17
-Gptp_ui-Sg,20
-GvVeT7pNT8,22
-HoAafTYR9w,25
-HrakxB4Klo,28
-IqpbDJFbZA,28
-JVITToppE0,17
-KB5QbOS4s4,23
-KeFvjm_hcA,1
-L4RYm9Tq7I,25
-N5eucPMTTc,22
-NEhvlJA5q8,25
-NIP2zgVsRY,15
-NcG4L0pwvE,26
-OK9i1_YYYc,15
-PJaVBbRKcI,24
-QPdRfqTnt4,1
-Qv6p6pTz5I,24
-QxZv_wJ1aA,15
-R9F2_D76TE,27
-RUbNqpwOt8,24
-RmUADCWI4A,17
-SIp6xSP7ds,25
-SJywvgaJEI,22
-TQpVg4vcrk,23
-V1Oo7srGf0,1
-VgOGzBcMIg,24
-W6v2_0evUU,25
-WRcZ9xHMuE,28
-WedqN1iYbM,10
-XcvFTYVxnA,22
-YRlVB6Qgug,24
-_jlqATo9eo,24
-a12nTEcoqE,24
-bx_vG94LSo,10
-cQoGwpDBPs,22
-crLmRLgeNE,10
-e-xXN-tcFU,10
-gfGtIHfU7A,27
-hI5Ds3IgVM,26
-hg_VRwS5RI,24
-jWIDwq44ZI,24
-kETYvHON_I,27
-kTWIm7m4Uw,23
-kxPDAiuijo,23
-l6wrTvMcbY,10
-l7TOYJZBtI,24
-lgcAySBbTA,22
-m3L9lA5_tA,25
-mNlASb89Wo,24
-mZZAvIHMvQ,24
-mvfLtZTe3Q,25
-nbm90xAhWY,24
-o7zywbiFVI,25
-oCQn2VkStI,28
-oOlAGKBXnA,23
-oXybog2IuI,27
-p-PToD2URA,28
-p2lhxUqMMQ,27
-pCzLbCCppo,27
-pOSRBAqUdM,17
-ppaazmNIgA,24
-py2awmME8s,24
-rZkKvRZ0UE,28
-s3j-ptJD10,27
-sXnoM6rDB4,22
-su6If-bd4U,24
-t1q78GYNww,26
-t5YLGn3VHQ,20
-tjucPZlcgc,26
-trTIbE3N4Y,19
-txKpma65ZU,22
-uuq9V38Akw,17
